"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2028-12-01,696392.441763796,-205057.563123537,-205057.563123537,-205057.563123537,-205057.563123537,-205057.563123537,-205057.563123537,0,0,0,337523.409009524,626403.961039862,560780.189106996,813097.02972485,491334.878640259
2029-01-01,696286.613455469,-231031.194560217,-231031.194560217,-231031.194560217,-231031.194560217,-231031.194560217,-231031.194560217,0,0,0,306638.374541566,602603.423334733,557916.900964595,815021.590937431,465255.418895251
2029-02-01,696180.785147142,-200244.092788425,-200244.092788425,-200244.092788425,-200244.092788425,-200244.092788425,-200244.092788425,0,0,0,339733.859929763,642936.579763398,555335.478884868,817516.745561366,495936.692358717
2029-03-01,696085.198288008,94985.9325587937,94985.9325587937,94985.9325587937,94985.9325587937,94985.9325587937,94985.9325587937,0,0,0,634711.659166974,947350.417199739,553296.972946881,819787.816485168,791071.130846801
2029-04-01,695979.36997968,227844.571496031,227844.571496031,227844.571496031,227844.571496031,227844.571496031,227844.571496031,0,0,0,751997.400391225,1066663.94909991,551026.000745356,821895.250017399,923823.941475712
2029-05-01,695876.955487751,216077.895488717,216077.895488717,216077.895488717,216077.895488717,216077.895488717,216077.895488717,0,0,0,739471.752613967,1061419.42793979,548239.663823342,824307.3226572,911954.850976468
2029-06-01,695771.127179424,132609.634964649,132609.634964649,132609.634964649,132609.634964649,132609.634964649,132609.634964649,0,0,0,658167.993866043,974091.251954943,545905.544223174,827141.924433575,828380.762144073
2029-07-01,695668.712687494,112028.950833951,112028.950833951,112028.950833951,112028.950833951,112028.950833951,112028.950833951,0,0,0,641043.31026548,959175.379176577,543348.831785556,830368.482566764,807697.663521445
2029-08-01,695562.884379167,12121.1643290199,12121.1643290199,12121.1643290199,12121.1643290199,12121.1643290199,12121.1643290199,0,0,0,537466.881988528,866483.036834933,541105.848408745,832250.933540947,707684.048708187
2029-09-01,695457.05607084,-30340.9712273982,-30340.9712273982,-30340.9712273982,-30340.9712273982,-30340.9712273982,-30340.9712273982,0,0,0,486440.432739165,819664.553542477,538282.545563878,835251.379870123,665116.084843442
2029-10-01,695354.641578911,-100175.201143264,-100175.201143264,-100175.201143264,-100175.201143264,-100175.201143264,-100175.201143264,0,0,0,425584.790541242,750566.754195703,533991.197262116,837645.479998843,595179.440435646
2029-11-01,695248.813270584,-156814.493497266,-156814.493497266,-156814.493497266,-156814.493497266,-156814.493497266,-156814.493497266,0,0,0,354879.692789568,694630.249533579,528581.602389168,839749.191377912,538434.319773318
2029-12-01,695146.398778654,-223391.280724257,-223391.280724257,-223391.280724257,-223391.280724257,-223391.280724257,-223391.280724257,0,0,0,275736.98919999,632615.768304266,527109.017136618,841305.766748323,471755.118054397
2030-01-01,695040.570470327,-226446.749074341,-226446.749074341,-226446.749074341,-226446.749074341,-226446.749074341,-226446.749074341,0,0,0,281180.54308708,637843.671215943,523535.877614444,843292.542911431,468593.821395986
