ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat,Sum_real
9/1/2001,857179.9073,-30340.97123,-30340.97123,-30340.97123,-30340.97123,-30340.97123,-30340.97123,0,0,0,754872.0446,909906.6899,857179.9073,857179.9073,826838.9361,899800
10/1/2001,856509.6214,-100175.2011,-100175.2011,-100175.2011,-100175.2011,-100175.2011,-100175.2011,0,0,0,685365.3929,828525.5352,856509.6214,856509.6214,756334.4202,773900
11/1/2001,855816.9925,-156814.4935,-156814.4935,-156814.4935,-156814.4935,-156814.4935,-156814.4935,0,0,0,620482.8019,773904.1182,855816.9925,855816.9925,699002.499,691100
12/1/2001,855146.7066,-223391.2807,-223391.2807,-223391.2807,-223391.2807,-223391.2807,-223391.2807,0,0,0,552605.3661,708019.0776,855146.7066,855146.7066,631755.4258,642700
1/1/2002,854454.0777,-226446.7491,-226446.7491,-226446.7491,-226446.7491,-226446.7491,-226446.7491,0,0,0,555835.2304,701412.2464,854454.0777,854454.0777,628007.3287,635900
2/1/2002,853761.4489,-182469.9748,-182469.9748,-182469.9748,-182469.9748,-182469.9748,-182469.9748,0,0,0,596796.9547,738504.4304,853761.4489,853761.4489,671291.4741,655300
3/1/2002,853135.8487,94565.77677,94565.77677,94565.77677,94565.77677,94565.77677,94565.77677,0,0,0,866277.248,1016791.184,853135.8487,853135.8487,947701.6254,759200
4/1/2002,852443.2198,224223.6377,224223.6377,224223.6377,224223.6377,224223.6377,224223.6377,0,0,0,1004889.759,1150994.765,852443.2198,852443.2198,1076666.857,1018000
5/1/2002,848286.4664,200344.0791,200344.0791,200344.0791,200344.0791,200344.0791,200344.0791,0,0,0,974610.1548,1125875.028,848286.4664,848286.4664,1048630.546,1108500
6/1/2002,843991.1546,132576.4916,132576.4916,132576.4916,132576.4916,132576.4916,132576.4916,0,0,0,899227.1215,1048364.243,843991.1546,843991.1546,976567.6461,1090400
7/1/2002,839834.4012,115166.1799,115166.1799,115166.1799,115166.1799,115166.1799,115166.1799,0,0,0,878898.0328,1026218.562,839834.4012,839834.4012,955000.5811,1033600
8/1/2002,835539.0893,17283.46086,17283.46086,17283.46086,17283.46086,17283.46086,17283.46086,0,0,0,779056.8362,925928.4286,835539.0893,835539.0893,852822.5502,1039500
9/1/2002,831243.7775,-19830.18878,-19830.18878,-19830.18878,-19830.18878,-19830.18878,-19830.18878,0,0,0,735167.2504,885884.0193,831243.7775,831243.7775,811413.5887,952200
10/1/2002,827087.0241,-91212.54262,-91212.54262,-91212.54262,-91212.54262,-91212.54262,-91212.54262,0,0,0,664715.9403,812633.2073,827087.0241,827087.0241,735874.4815,780500
11/1/2002,822791.7123,-172587.0371,-172587.0371,-172587.0371,-172587.0371,-172587.0371,-172587.0371,0,0,0,569621.7835,725408.3401,822791.7123,822791.7123,650204.6751,627700
