Date Time,Lake Mead Differnece (Thousand acre-feet),ARIZONA (acre-feet),CALIFORNIA (acre-feet),NEVADA (acre-feet),MEXICO (acre-feet),Sum,mead_Evap_tavg (kg m-2 s-1),mead_Tair_f_inst (K),mead_Rainf_tavg (kg m-2 s-1),upperCRB_Tair_f_inst (K),upperCRB_Snowf_tavg (kg m-2 s-1),upperCRB_Rainf_tavg (kg m-2 s-1),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index)
2013-01-01,0192.0000000000,107294.0000000000,216806.0000000000,8965.0000000000,142830.0000000000,475895.0000000000,0000.0000056037,0279.3407133333,0000.0000083409,0264.5983429707,0000.0000088182,0000.0000019694,0060.8329532490,0012.8788251780,-0004.8600000000
2013-02-01,-0018.0000000000,201539.0000000000,201525.0000000000,8470.0000000000,157585.0000000000,569119.0000000000,0000.0000080065,0282.5155983333,0000.0000056690,0267.1052730544,0000.0000049616,0000.0000018489,0061.7779252134,0009.5828540851,-0004.6800000000
2013-03-01,-0345.0000000000,283383.0000000000,422252.0000000000,15300.0000000000,201844.0000000000,922779.0000000000,0000.0000114316,0290.4094766667,0000.0000113882,0274.2990041841,0000.0000037251,0000.0000044915,0063.5483181025,0004.2472437929,-0004.9500000000
2013-04-01,-0544.0000000000,295234.0000000000,472366.0000000000,20750.0000000000,213092.0000000000,1001442.0000000000,0000.0000097848,0293.4709350000,0000.0000042845,0278.0429269038,0000.0000037756,0000.0000090594,0066.0853965523,0001.2544556238,-0004.8100000000
2013-05-01,-0426.0000000000,323917.0000000000,506130.0000000000,28076.0000000000,112454.0000000000,970577.0000000000,0000.0000062418,0298.2438833333,0000.0000039155,0285.0083017782,0000.0000007094,0000.0000102587,0067.5983574372,0000.1425133282,-0005.2600000000
2013-06-01,-0219.0000000000,274037.0000000000,493786.0000000000,28679.0000000000,109724.0000000000,906226.0000000000,0000.0000023076,0305.2356816667,0000.0000006745,0292.2741315063,0000.0000000068,0000.0000023058,0063.5715040502,0000.0007050209,-0006.0300000000
2013-07-01,-0006.0000000000,207476.0000000000,462052.0000000000,29150.0000000000,117957.0000000000,816635.0000000000,0000.0000061822,0307.3288400000,0000.0000083003,0294.9089192887,0000.0000000001,0000.0000129899,0058.4658411088,0000.0000916116,-0005.1100000000
2013-08-01,0019.0000000000,208424.0000000000,417254.0000000000,27538.0000000000,120927.0000000000,774143.0000000000,0000.0000068570,0305.3201183333,0000.0000076615,0293.0897260879,0000.0000000087,0000.0000157334,0057.4176516820,0000.0007950634,-0004.7400000000
2013-09-01,0073.0000000000,235296.0000000000,355558.0000000000,16179.0000000000,108659.0000000000,715692.0000000000,0000.0000123630,0300.3140750000,0000.0000150944,0288.5894281381,0000.0000002592,0000.0000276659,0062.6204920084,0000.0415622385,-0002.5200000000
2013-10-01,-0263.0000000000,281311.0000000000,400136.0000000000,19884.0000000000,79670.0000000000,781001.0000000000,0000.0000048722,0291.8708283333,0000.0000038099,0279.3123384519,0000.0000017537,0000.0000130857,0075.0620153326,0000.5289110378,-0002.4900000000
2013-11-01,0211.0000000000,190713.0000000000,262915.0000000000,11754.0000000000,101609.0000000000,566991.0000000000,0000.0000045992,0286.7682100000,0000.0000143782,0273.8761572176,0000.0000045701,0000.0000055667,0080.2419872992,0002.7759559775,-0002.0200000000
2013-12-01,0034.0000000000,170243.0000000000,265009.0000000000,8818.0000000000,105619.0000000000,549689.0000000000,0000.0000051853,0280.0715033333,0000.0000037671,0266.0129762971,0000.0000050886,0000.0000025347,0082.2673036736,0009.6337022499,-0002.1200000000
2014-01-01,0187.0000000000,129388.0000000000,263854.0000000000,8130.0000000000,130640.0000000000,532012.0000000000,0000.0000049046,0283.2458900000,0000.0000051403,0268.2217020293,0000.0000042368,0000.0000018244,0082.1088365544,0007.7697521771,-0002.6100000000
2014-02-01,-0075.0000000000,191933.0000000000,251788.0000000000,8028.0000000000,161705.0000000000,613454.0000000000,0000.0000080793,0285.8776850000,0000.0000060428,0271.3921968828,0000.0000024847,0000.0000047129,0082.9374796611,0008.5571903971,-0003.0600000000
2014-03-01,-0568.0000000000,283591.0000000000,415742.0000000000,13983.0000000000,207866.0000000000,921182.0000000000,0000.0000062135,0289.4009866667,0000.0000048894,0275.3240487866,0000.0000065702,0000.0000112991,0085.1810384728,0004.7969229194,-0003.3800000000
2014-04-01,-0634.0000000000,318016.0000000000,481151.0000000000,20864.0000000000,208090.0000000000,1028121.0000000000,0000.0000079748,0293.3718333333,0000.0000031394,0279.0241315900,0000.0000012197,0000.0000065798,0089.6083893243,0002.7994867761,-0003.5400000000
2014-05-01,-0615.0000000000,326442.0000000000,523387.0000000000,30194.0000000000,113746.0000000000,993769.0000000000,0000.0000062195,0298.2826866667,0000.0000034718,0284.8669192678,0000.0000006878,0000.0000127924,0089.5098221402,0000.2278643743,-0003.9500000000
2014-06-01,-0406.0000000000,264493.0000000000,493609.0000000000,28078.0000000000,112038.0000000000,898218.0000000000,0000.0000021042,0304.0032666667,0000.0000009450,0290.5505034519,0000.0000000661,0000.0000040026,0081.3951331757,0000.0037555788,-0004.8200000000
2014-07-01,-0172.0000000000,236956.0000000000,506040.0000000000,27686.0000000000,120665.0000000000,891347.0000000000,0000.0000024671,0307.0070633333,0000.0000028567,0294.7747743305,0000.0000000001,0000.0000120472,0070.1587646025,0000.0000731374,-0004.4200000000
2014-08-01,0079.0000000000,193624.0000000000,408488.0000000000,23853.0000000000,108053.0000000000,734018.0000000000,0000.0000132668,0304.1481166667,0000.0000168353,0291.6669964435,0000.0000000109,0000.0000216598,0066.3545502155,0000.0007576090,-0003.4600000000
2014-09-01,-0019.0000000000,231213.0000000000,383090.0000000000,19525.0000000000,89653.0000000000,723481.0000000000,0000.0000061565,0302.6741200000,0000.0000129444,0289.6178747908,0000.0000001201,0000.0000209712,0067.4726289812,0000.0079963389,-0002.0500000000
2014-10-01,0123.0000000000,231115.0000000000,370843.0000000000,21862.0000000000,65519.0000000000,689339.0000000000,0000.0000055174,0296.2045400000,0000.0000003147,0283.0380648745,0000.0000002079,0000.0000049899,0077.8089483682,0000.0698274904,-0002.4800000000
2014-11-01,0065.0000000000,204658.0000000000,305952.0000000000,13713.0000000000,105627.0000000000,629950.0000000000,0000.0000019710,0287.1607650000,0000.0000040821,0273.4517772594,0000.0000026428,0000.0000040383,0079.3714332469,0000.9728474544,-0002.5600000000
2014-12-01,0358.0000000000,163232.0000000000,245790.0000000000,8700.0000000000,108549.0000000000,526271.0000000000,0000.0000051313,0282.3963533333,0000.0000116892,0270.2288218619,0000.0000056956,0000.0000050898,0080.1179457657,0005.0733393496,-0002.3300000000
2015-01-01,0062.0000000000,215517.0000000000,258934.0000000000,6146.0000000000,145888.0000000000,626485.0000000000,0000.0000044855,0282.5216033333,0000.0000072080,0269.6415828452,0000.0000039155,0000.0000041765,0080.4960828891,0006.2437749469,-0002.0600000000
2015-02-01,0040.0000000000,174116.0000000000,262979.0000000000,7997.0000000000,172217.0000000000,617309.0000000000,0000.0000073424,0287.1161166667,0000.0000030939,0273.0994181590,0000.0000037644,0000.0000049792,0086.3157919477,0003.9218191592,-0002.3700000000
