"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2007-11-01,765937.522524419,-188762.341744037,-188762.341744037,-188762.341744037,-188762.341744037,-188762.341744037,-188762.341744037,0,0,0,497978.154242315,655350.9019319,765937.522524419,765937.522524419,577175.180780382
2007-12-01,765749.554777724,-258842.141651559,-258842.141651559,-258842.141651559,-258842.141651559,-258842.141651559,-258842.141651559,0,0,0,435567.088879258,583063.387274669,765749.554777724,765749.554777724,506907.413126166
2008-01-01,765555.321439473,-215290.297752769,-215290.297752769,-215290.297752769,-215290.297752769,-215290.297752769,-215290.297752769,0,0,0,471662.048462536,627547.001573614,765555.321439473,765555.321439473,550265.023686704
2008-02-01,765361.088101222,-146474.094942954,-146474.094942954,-146474.094942954,-146474.094942954,-146474.094942954,-146474.094942954,0,0,0,541243.61264804,689387.26131689,765361.088101222,765361.088101222,618886.993158268
2008-03-01,764805.158132932,94964.579669112,94964.579669112,94964.579669112,94964.579669112,94964.579669112,94964.579669112,0,0,0,782717.551102333,930527.71363408,764805.158132932,764805.158132932,859769.737802044
2008-04-01,764210.888166827,231070.710775078,231070.710775078,231070.710775078,231070.710775078,231070.710775078,231070.710775078,0,0,0,921841.467318621,1068894.05210845,764210.888166827,764210.888166827,995281.598941905
2008-05-01,763635.78819963,231839.573822636,231839.573822636,231839.573822636,231839.573822636,231839.573822636,231839.573822636,0,0,0,917309.067526811,1072766.12350096,763635.78819963,763635.78819963,995475.362022266
2008-06-01,763041.518233526,132982.40063953,132982.40063953,132982.40063953,132982.40063953,132982.40063953,132982.40063953,0,0,0,819493.886864302,968995.738259848,763041.518233526,763041.518233526,896023.918873056
2008-07-01,762466.418266329,109108.984182749,109108.984182749,109108.984182749,109108.984182749,109108.984182749,109108.984182749,0,0,0,794362.3066668,943755.635172341,762466.418266329,762466.418266329,871575.402449078
2008-08-01,761872.148300225,7129.61743146277,7129.61743146277,7129.61743146277,7129.61743146277,7129.61743146277,7129.61743146277,0,0,0,697238.814288749,844161.074817582,761872.148300225,761872.148300225,769001.765731688
2008-09-01,761277.878334121,-40899.7868197586,-40899.7868197586,-40899.7868197586,-40899.7868197586,-40899.7868197586,-40899.7868197586,0,0,0,642221.305403167,804244.913086638,761277.878334121,761277.878334121,720378.091514362
